Image,Category,Matches,Inliers,Clusters,IoU,DICE,Time (s)
001_F.png,Translation,174,145,5,0.0778,0.1443,0.9
002_F.png,Translation,58,49,3,0.1693,0.2895,0.42
003_F.png,Translation,280,162,5,0.0844,0.1556,1.53
004_F.png,Translation,173,166,4,0.1541,0.267,0.25
005_F.png,Translation,644,637,4,0.4272,0.5986,0.31
006_F.png,Translation,710,706,2,0.7571,0.8618,0.57
007_F.png,Translation,196,51,5,0.0346,0.0669,1.47
008_F.png,Translation,9,0,0,0.0,0.0,0.14
009_F.png,Translation,11,0,0,0.0,0.0,0.16
010_F.png,Translation,105,69,5,0.0198,0.0388,0.88
011_F.png,Translation,43,41,2,0.6564,0.7926,2.05
012_F.png,Translation,166,137,5,0.4086,0.5802,0.8
013_F.png,Translation,495,495,4,0.7147,0.8336,1.72
014_F.png,Translation,72,69,3,0.4861,0.6542,1.1
015_F.png,Translation,216,214,2,0.7692,0.8695,0.69
016_F.png,Translation,72,52,2,0.5611,0.7188,2.33
017_F.png,Translation,36,32,2,0.5974,0.748,2.52
018_F.png,Translation,0,0,0,0.0,0.0,2.95
019_F.png,Translation,0,0,0,0.0,0.0,5.0
020_F.png,Translation,0,0,0,0.0,0.0,3.82
021_F.png,Translation,10,0,0,0.0,0.0,1.64
022_F.png,Translation,48,35,5,0.1157,0.2074,1.69
023_F.png,Translation,173,108,5,0.1066,0.1927,1.08
024_F.png,Translation,637,620,5,0.7255,0.8409,0.91
025_F.png,Translation,96,57,5,0.017,0.0334,1.41
026_F.png,Translation,110,100,2,0.7423,0.8521,0.65
027_F.png,Translation,101,94,5,0.6133,0.7603,2.45
028_F.png,Translation,186,186,2,0.6374,0.7786,1.43
029_F.png,Translation,312,312,2,0.863,0.9265,1.89
030_F.png,Translation,36,22,2,0.0,0.0,0.51
031_F.png,Translation,69,62,2,0.5122,0.6774,0.23
032_F.png,Translation,44,28,3,0.4641,0.6339,0.72
033_F.png,Translation,380,301,5,0.1575,0.2722,0.91
034_F.png,Translation,452,425,5,0.3525,0.5213,0.32
035_F.png,Translation,921,889,5,0.635,0.7768,0.63
036_F.png,Translation,7,0,0,0.0,0.0,1.95
037_F.png,Translation,81,70,2,0.144,0.2518,0.19
038_F.png,Translation,106,57,5,0.0,0.0,1.03
039_F.png,Translation,195,149,5,0.1302,0.2304,0.83
040_F.png,Translation,692,692,2,0.8622,0.926,2.09
041_F.png,Rotation,167,157,4,0.0881,0.162,0.27
042_F.png,Rotation,173,161,4,0.1522,0.2641,0.27
043_F.png,Rotation,10,0,0,0.0,0.0,0.14
044_F.png,Rotation,17,9,1,0.073,0.136,0.15
045_F.png,Rotation,93,59,5,0.0124,0.0245,0.74
046_F.png,Rotation,58,58,1,0.6351,0.7768,1.87
047_F.png,Rotation,50,50,2,0.6786,0.8085,1.76
048_F.png,Rotation,362,356,3,0.7485,0.8562,1.28
049_F.png,Rotation,58,58,3,0.5198,0.6841,0.72
050_F.png,Rotation,174,171,2,0.7326,0.8456,0.53
051_F.png,Rotation,165,162,2,0.7313,0.8448,0.54
052_F.png,Rotation,167,164,2,0.7338,0.8464,0.54
053_F.png,Rotation,47,38,2,0.6115,0.759,4.03
054_F.png,Rotation,54,43,4,0.5465,0.7067,4.2
055_F.png,Rotation,0,0,0,0.0,0.0,3.94
056_F.png,Rotation,2,0,0,0.0,0.0,2.91
057_F.png,Rotation,0,0,0,0.0,0.0,2.31
058_F.png,Rotation,6,0,0,0.0,0.0,1.21
059_F.png,Rotation,85,75,2,0.7718,0.8712,0.51
060_F.png,Rotation,57,55,2,0.6767,0.8072,2.13
061_F.png,Rotation,129,129,2,0.6331,0.7753,1.58
062_F.png,Rotation,258,258,2,0.8553,0.922,2.71
063_F.png,Rotation,65,44,2,0.3824,0.5532,2.49
064_F.png,Rotation,1081,1081,2,0.9317,0.9646,1.82
065_F.png,Rotation,71,62,2,0.6869,0.8144,0.42
066_F.png,Rotation,51,32,3,0.5291,0.692,1.78
067_F.png,Rotation,42,31,3,0.2656,0.4198,0.47
068_F.png,Rotation,269,242,1,0.8226,0.9027,1.18
069_F.png,Rotation,14,9,1,0.3718,0.542,2.68
070_F.png,Rotation,140,103,5,0.0427,0.0819,0.99
071_F.png,Rotation,64,59,2,0.422,0.5936,0.27
072_F.png,Rotation,43,33,4,0.2408,0.3881,0.89
073_F.png,Rotation,781,749,5,0.6519,0.7892,0.91
074_F.png,Rotation,23,23,2,0.1574,0.2719,3.15
075_F.png,Rotation,547,547,2,0.8879,0.9406,2.97
076_F.png,Rotation,80,71,2,0.1436,0.2511,0.21
077_F.png,Rotation,7,0,0,0.0,0.0,1.86
078_F.png,Rotation,93,76,5,0.6827,0.8115,0.76
079_F.png,Rotation,147,78,5,0.0,0.0,1.15
080_F.png,Rotation,92,58,5,0.0446,0.0854,1.36
081_F.png,Scaling,35,35,2,0.7015,0.8246,2.06
082_F.png,Scaling,20,20,2,0.6885,0.8155,2.19
083_F.png,Scaling,55,55,4,0.6931,0.8188,2.24
084_F.png,Scaling,29,29,2,0.7001,0.8236,1.92
085_F.png,Scaling,554,547,4,0.4513,0.6219,0.31
086_F.png,Scaling,11,6,1,0.0283,0.0551,0.15
087_F.png,Scaling,10,0,0,0.0,0.0,0.16
088_F.png,Scaling,13,6,1,0.0244,0.0475,0.18
089_F.png,Scaling,94,56,5,0.0314,0.0608,0.75
090_F.png,Scaling,392,386,3,0.789,0.882,1.45
091_F.png,Scaling,32,27,2,0.7303,0.8441,0.8
092_F.png,Scaling,51,46,2,0.7272,0.8421,0.81
093_F.png,Scaling,34,30,2,0.6181,0.764,1.86
094_F.png,Scaling,2,0,0,0.0,0.0,1.03
095_F.png,Scaling,0,0,0,0.0,0.0,1.75
096_F.png,Scaling,0,0,0,0.0,0.0,1.69
097_F.png,Scaling,170,163,4,0.1101,0.1983,0.25
098_F.png,Scaling,69,66,2,0.4651,0.6349,0.54
099_F.png,Scaling,71,50,5,0.2387,0.3854,0.88
100_F.png,Scaling,90,42,3,0.0,0.0,1.27
101_F.png,Scaling,79,70,2,0.7156,0.8342,0.43
102_F.png,Scaling,38,38,2,0.5426,0.7035,1.81
103_F.png,Scaling,19,19,2,0.2878,0.447,1.73
104_F.png,Scaling,235,235,2,0.8181,0.9,1.97
105_F.png,Scaling,51,35,4,0.1318,0.2329,0.82
106_F.png,Scaling,300,300,2,0.8766,0.9342,1.97
107_F.png,Scaling,85,62,4,0.5763,0.7312,0.86
108_F.png,Scaling,73,68,4,0.7148,0.8337,1.66
109_F.png,Scaling,313,191,5,0.169,0.2891,1.22
110_F.png,Scaling,136,99,5,0.0658,0.1235,0.84
111_F.png,Scaling,66,60,2,0.4375,0.6087,0.26
112_F.png,Scaling,42,25,3,0.406,0.5775,0.81
113_F.png,Scaling,289,202,5,0.1694,0.2897,0.98
114_F.png,Scaling,403,374,5,0.3298,0.496,0.4
115_F.png,Scaling,770,729,5,0.6612,0.796,1.05
116_F.png,Scaling,9,0,0,0.0,0.0,1.94
117_F.png,Scaling,384,384,2,0.8705,0.9308,1.93
118_F.png,Scaling,106,56,5,0.0,0.0,1.04
119_F.png,Scaling,182,125,5,0.1082,0.1952,0.83
